symbol,iv,iv_mean,iv_pctile,z_score,phi,half_life_days,n_crush,avg_d1_crush_pct,recovery_vs_peak,recovery_vs_base,hv,iv_hv_now,iv_hv_avg,group,strategy,vrp,note
NVDA,0.3683,0.4009,36.7,-0.6,0.9335,10.1,1,25.3,79.6,0.97,0.4029,0.91,1.14,G5,No vol edge — iron condor in quiet window or skip,"FAIR (edge is structure, not mispricing)",
AMD,0.7213,0.5429,99.2,1.95,0.9632,18.5,0,,,,0.843,0.86,0.86,G3,Credit spread 30-45 DTE (fast decay; take profit early),UNDERPRICED (buying edge),
AVGO,0.4632,0.4665,53.4,-0.04,0.955,15.1,2,20.5,84.7,1.07,0.7007,0.66,1.01,G5,No vol edge — iron condor in quiet window or skip,"FAIR (edge is structure, not mispricing)",
MRVL,1.0048,0.6193,96.8,2.4,0.9089,7.3,7,34.0,88.6,1.16,1.1372,0.88,0.98,G3,Credit spread 30-45 DTE (fast decay; take profit early),"FAIR (edge is structure, not mispricing)",
QCOM,0.782,0.3948,94.4,2.63,0.9959,168.7,2,15.3,114.1,1.6,0.9381,0.83,0.98,G1,Calendar after the crush (sticky vol),"FAIR (edge is structure, not mispricing)",
ARM,0.9967,0.591,97.6,2.77,0.9445,12.1,5,22.0,94.8,1.34,1.1034,0.9,1.02,G3,Credit spread 30-45 DTE (fast decay; take profit early),"FAIR (edge is structure, not mispricing)",
TSM,0.4613,0.3884,92.4,1.38,0.9513,13.9,0,,,,0.4596,1.0,1.04,G3,Credit spread 30-45 DTE (fast decay; take profit early),"FAIR (edge is structure, not mispricing)",
ASML,0.5764,0.4145,98.4,1.91,0.9766,29.3,2,16.0,78.6,1.26,0.5456,1.06,1.05,G3,Credit spread 30-45 DTE (fast decay; take profit early),"FAIR (edge is structure, not mispricing)",
AMAT,0.697,0.4619,99.2,2.2,0.9864,50.6,3,16.0,91.9,1.13,0.632,1.1,0.97,G2,"Credit spread ~10% OTM, 30-45 DTE (slow decay)","FAIR (edge is structure, not mispricing)",
LRCX,0.7378,0.5228,98.4,1.73,0.9878,56.5,0,,,,0.6909,1.07,1.06,G2,"Credit spread ~10% OTM, 30-45 DTE (slow decay)","FAIR (edge is structure, not mispricing)",
KLAC,0.7302,0.4571,99.6,3.03,0.9945,125.7,1,15.2,102.6,1.08,0.6278,1.16,1.03,G1,Calendar after the crush (sticky vol),"FAIR (edge is structure, not mispricing)",
TER,0.8587,0.5787,99.6,2.01,0.9856,47.8,2,24.7,77.1,1.21,0.7524,1.14,0.99,G2,"Credit spread ~10% OTM, 30-45 DTE (slow decay)","FAIR (edge is structure, not mispricing)",
MU,1.0575,0.6444,99.6,2.6,0.9938,111.5,2,20.9,96.8,1.21,1.0145,1.04,1.02,G1,Calendar after the crush (sticky vol),"FAIR (edge is structure, not mispricing)",
INTC,0.8646,0.6035,98.4,2.04,0.967,20.7,2,19.3,82.2,1.1,1.0188,0.85,0.92,G3,Credit spread 30-45 DTE (fast decay; take profit early),"FAIR (edge is structure, not mispricing)",
GFS,0.766,0.5301,93.2,1.87,0.8478,4.2,14,21.3,100.1,1.15,0.86,0.89,1.04,G3,Credit spread 30-45 DTE (fast decay; take profit early),"FAIR (edge is structure, not mispricing)",
TXN,0.4862,0.3524,97.2,2.05,0.959,16.6,3,25.6,81.2,1.15,0.4662,1.04,0.99,G3,Credit spread 30-45 DTE (fast decay; take profit early),"FAIR (edge is structure, not mispricing)",
ADI,0.4695,0.3461,96.0,1.85,0.9727,25.0,4,20.0,79.9,0.99,0.4908,0.96,1.08,G3,Credit spread 30-45 DTE (fast decay; take profit early),"FAIR (edge is structure, not mispricing)",
ON,0.7435,0.5467,98.0,2.14,0.9656,19.8,3,21.0,82.8,1.15,0.7375,1.01,1.1,G3,Credit spread 30-45 DTE (fast decay; take profit early),"FAIR (edge is structure, not mispricing)",
