symbol,best_strategy,best_mean_ret,long_straddle_ret,long_straddle_win,iron_condor_ret,iron_condor_win,calendar_ret,calendar_win
NVDA,calendar,0.282,-0.178,0.3,0.02,0.78,0.282,0.6
AMD,long_straddle,0.584,0.584,0.53,-0.109,0.7,-0.175,0.35
AVGO,calendar,0.113,0.085,0.44,-0.042,0.76,0.113,0.49
MRVL,long_straddle,0.351,0.351,0.52,-0.114,0.67,0.059,0.44
QCOM,calendar,0.113,0.11,0.36,0.002,0.78,0.113,0.52
ARM,long_straddle,0.23,0.23,0.54,-0.023,0.72,-0.059,0.38
TSM,calendar,0.048,0.018,0.47,-0.008,0.69,0.048,0.45
ASML,long_straddle,0.107,0.107,0.43,-0.009,0.76,0.024,0.48
AMAT,long_straddle,0.192,0.192,0.46,-0.071,0.67,0.01,0.45
LRCX,long_straddle,0.274,0.274,0.49,-0.129,0.64,-0.033,0.41
KLAC,calendar,0.091,-0.017,0.37,0.007,0.77,0.091,0.62
TER,long_straddle,0.394,0.394,0.62,-0.164,0.54,-0.122,0.35
MU,long_straddle,0.547,0.547,0.52,-0.211,0.59,-0.072,0.43
INTC,long_straddle,0.43,0.43,0.45,-0.147,0.67,0.092,0.53
GFS,calendar,0.182,-0.023,0.35,0.022,0.81,0.182,0.57
TXN,long_straddle,0.158,0.158,0.47,-0.043,0.74,0.065,0.46
ADI,calendar,0.187,-0.029,0.36,-0.011,0.74,0.187,0.59
ON,calendar,0.13,0.084,0.38,-0.036,0.76,0.13,0.48
ORCL,long_straddle,0.449,0.449,0.63,-0.18,0.55,-0.032,0.38
PLTR,long_straddle,0.226,0.226,0.46,-0.12,0.67,0.095,0.48
SNOW,calendar,0.183,0.132,0.51,-0.019,0.72,0.183,0.47
NOW,long_straddle,0.102,0.102,0.44,-0.02,0.73,0.016,0.38
CRM,calendar,0.212,-0.02,0.32,-0.003,0.78,0.212,0.51
MSFT,calendar,0.127,-0.033,0.41,0.008,0.76,0.127,0.47
AAPL,calendar,0.143,-0.072,0.37,0.002,0.71,0.143,0.55
AMZN,calendar,0.157,-0.056,0.45,0.048,0.81,0.157,0.48
GOOGL,long_straddle,0.237,0.237,0.56,-0.065,0.68,-0.063,0.36
META,calendar,0.194,-0.136,0.37,0.05,0.81,0.194,0.49
TSLA,long_straddle,0.093,0.093,0.37,-0.033,0.76,-0.019,0.45
SMCI,long_straddle,0.136,0.136,0.54,-0.044,0.67,-0.031,0.38
DELL,long_straddle,0.346,0.346,0.55,-0.121,0.63,-0.054,0.35
ANET,calendar,0.219,0.005,0.44,-0.022,0.71,0.219,0.51
VRT,long_straddle,0.183,0.183,0.52,-0.095,0.66,-0.028,0.4
CRWV,long_straddle,0.701,0.701,0.47,-0.17,0.6,-0.16,0.44
